link,like_num,comment_num,share_num,ldp,success
https://web.facebook.com/groups/629086881077022/posts/1689343251718041/?mibextid=wwXIfr,9,3,0,https://www.facebook.com/groups/629086881077022/posts/1689343251718041/?mibextid=wwXIfr&_rdc=1&_rdr#,True
https://web.facebook.com/yeuquangbinh.7373/posts/1283250740469990/,19,0,0,https://www.facebook.com/yeuquangbinh.7373/posts/1283250740469990/?_rdc=1&_rdr#,True
https://www.facebook.com/100044662353499/posts/pfbid02KekRixEcGTrW4NSUULAuPCMoSfZWDxYxkiiXB2qPU5SzAKUi3Bktv5QsXmsfMibLl/,437,14,3,https://www.facebook.com/100044662353499/posts/pfbid02KekRixEcGTrW4NSUULAuPCMoSfZWDxYxkiiXB2qPU5SzAKUi3Bktv5QsXmsfMibLl/,True
https://www.facebook.com/1vnvcquan12/posts/pfbid02oETdv6sYhiwd7GqR22wecf9wLLofgQqLE6L78NXby5SKnt4zCQsy8Xo2UobRwqJhl,16,0,0,https://www.facebook.com/1vnvcquan12/posts/pfbid02oETdv6sYhiwd7GqR22wecf9wLLofgQqLE6L78NXby5SKnt4zCQsy8Xo2UobRwqJhl,True
https://www.facebook.com/100076263856029/posts/722580673627388/?mibextid=wwXIfr&rdid=BGHP6OO1B44fXZ9H#,17,4,0,https://www.facebook.com/100076263856029/posts/722580673627388/?mibextid=wwXIfr&rdid=BGHP6OO1B44fXZ9H#,True
https://www.facebook.com/1vnvcquan12/posts/pfbid0f1RwrqT3BFBPZ1HnCEcmeWQKikiBNrJwCgPhgCo2KbWTKJoU8XHTHPSZTap5sDixl,24,1,0,https://www.facebook.com/1vnvcquan12/posts/pfbid0f1RwrqT3BFBPZ1HnCEcmeWQKikiBNrJwCgPhgCo2KbWTKJoU8XHTHPSZTap5sDixl,True
https://www.facebook.com/24hbinhduong.vn/posts/pfbid034ojff8ePQhiSk7iJn24DdZsEJq3DFiBEKVdvH29S6wCdRd7anTG7D38rQR8npwJyl,906,67,23,https://www.facebook.com/24hbinhduong.vn/posts/pfbid034ojff8ePQhiSk7iJn24DdZsEJq3DFiBEKVdvH29S6wCdRd7anTG7D38rQR8npwJyl,True
https://www.facebook.com/chuyencuahues/posts/pfbid02XTAmm5ACMpmiXg3t3uRdDEdkfGGbtbyQnu7zeSDr55973QV4oRmWa12NBue2Qp2Nl?rdid=81xNTpMtTAXOf4nu#,188,8,8,https://www.facebook.com/chuyencuahues/posts/pfbid02XTAmm5ACMpmiXg3t3uRdDEdkfGGbtbyQnu7zeSDr55973QV4oRmWa12NBue2Qp2Nl?rdid=81xNTpMtTAXOf4nu#,True
https://www.facebook.com/hanoi24h.com.vn/posts/pfbid02aguGEhBt4fR69YfrJzoNsrn7SbpC4oag3R52AWGXCqpJSLGv97rZP6nbP2S9inVZl,1000,131,30,https://www.facebook.com/hanoi24h.com.vn/posts/pfbid02aguGEhBt4fR69YfrJzoNsrn7SbpC4oag3R52AWGXCqpJSLGv97rZP6nbP2S9inVZl,True
https://www.facebook.com/trungtamtiemchungvnvc/posts/pfbid02B4kZa2HQjsnBAAp4KAWCdEgk1REsm3M5HvrmFdnWxUzFeK1QEdjKabngEk95rZSjl,64000,858,1700,https://www.facebook.com/trungtamtiemchungvnvc/posts/pfbid02B4kZa2HQjsnBAAp4KAWCdEgk1REsm3M5HvrmFdnWxUzFeK1QEdjKabngEk95rZSjl,True
https://www.facebook.com/chuyencuahues/posts/pfbid0ecqPVmDCzW5Jv7mBaR1fgbEB7wjCLN8YDxY8RLzuUJ21LBwhWPASsZSZ2zsN3JM3l?__cft__[0]=AZVpAAiRrU0eptNUSuBTBzHBGHUOWqTVboPNwRuBymqdwU_pQOdM3emqPTFXLwy1oowCz4VyVN5cMO6fNVTSO3XDdDWNBP_Ch9LY7YvF15aOlBYUcCIQpZqB3IBuXYqFQwI2m4GJllZquUXOftdT1qy4IHakSMPyLg-Envy9-zwZPbyjinPJHkmyHkKB5PPcse8&__tn__=%2CO%2CP-R,12,9,10,https://www.facebook.com/chuyencuahues/posts/pfbid0ecqPVmDCzW5Jv7mBaR1fgbEB7wjCLN8YDxY8RLzuUJ21LBwhWPASsZSZ2zsN3JM3l,True
https://www.facebook.com/photo/?fbid=1019805400250310&set=a.434100975487425,127,3,1,https://www.facebook.com/photo/?fbid=1019805400250310&set=a.434100975487425,True
https://www.facebook.com/photo/?fbid=1081535717170285&set=a.483565586967304,352,9,0,https://www.facebook.com/photo/?fbid=1081535717170285&set=a.483565586967304,True
https://www.facebook.com/photo/?fbid=699112116315538&set=pb.100086502672474.-2207520000,3,1,0,https://www.facebook.com/photo/?fbid=699112116315538&set=pb.100086502672474.-2207520000,True
https://www.facebook.com/reel/2509239409424194,6100,328,1000,https://www.facebook.com/reel/2509239409424194,True
https://www.facebook.com/reel/563658386813473/?s=single_unit,43,0,3,https://www.facebook.com/reel/563658386813473,True
https://www.facebook.com/share/19BsqJE78X/,9300,565,1000,https://www.facebook.com/trungtamtiemchungvnvc/posts/1775711059718381?rdid=a5XZDomwSrsCIFuS,True
https://www.facebook.com/share/p/126bUuAUR8u/,1500,153,14,https://www.facebook.com/LHNT7510/posts/pfbid0NBXf7o8yGUKrLX4SdA6AutW7ovcVqEKTBTusLv8P79sg4KqQfcDQyfCF5Z14KdSzl?rdid=XgQt31RxYQmLxusv,True
https://www.facebook.com/share/p/1DTAXhMUbF/,64000,858,1700,https://www.facebook.com/trungtamtiemchungvnvc/posts/pfbid02B4kZa2HQjsnBAAp4KAWCdEgk1REsm3M5HvrmFdnWxUzFeK1QEdjKabngEk95rZSjl?rdid=kOjwvQzqWQQ37s13,True
https://www.facebook.com/share/p/1BzvRJJAg7/?mibextid=wwXIfr,50,3,2,https://www.facebook.com/story.php?story_fbid=1264443339021623&id=100063679055232&mibextid=wwXIfr&rdid=aR1cq41B0BEU45dB,True
https://www.facebook.com/nekoemonking/posts/pfbid02uF4uQC4NXaPQ3rqCVKJu9LHzZNd5UfZJCVGqbR6EscbCcR7dsjTCToH2169XzQvWl?__cft__[0]=AZXkmsBPl93TitbqjMv0K4ez54cHVycMG6uu4ZDdsHQD2X9X1gYwHJjeDKs0cHPzNvw4G-tdUxDuNUE9SYP3NzcYWVoubfeqo1c2EKzrWj7cHXZjtzh7Ztb12ks-CZbWIm1wSPA29RsyQ9bsqya3jr6YaN7G8TdQW8b-99nyO8D3zg&__tn__=%2CO%2CP-R,236,8,7,https://www.facebook.com/nekoemonking/posts/pfbid02uF4uQC4NXaPQ3rqCVKJu9LHzZNd5UfZJCVGqbR6EscbCcR7dsjTCToH2169XzQvWl,True
https://www.facebook.com/share/p/1HwQYbXWas/,64000,858,1700,https://www.facebook.com/trungtamtiemchungvnvc/posts/pfbid02B4kZa2HQjsnBAAp4KAWCdEgk1REsm3M5HvrmFdnWxUzFeK1QEdjKabngEk95rZSjl?rdid=TKV1UqCbetIxnbrJ,True
